Id,Id2,Geography,Estimate; EMPLOYMENT STATUS - Population 16 years and over,Estimate; EMPLOYMENT STATUS - Civilian labor force,Estimate; OCCUPATION - Civilian employed population 16 years and over,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations",Estimate; OCCUPATION - Civilian employed population 16 years and over - Service occupations,Estimate; OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations,"Estimate; OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations","Estimate; OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations",Estimate; INDUSTRY - Civilian employed population 16 years and over,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining",Estimate; INDUSTRY - Civilian employed population 16 years and over - Construction,Estimate; INDUSTRY - Civilian employed population 16 years and over - Manufacturing,Estimate; INDUSTRY - Civilian employed population 16 years and over - Wholesale trade,Estimate; INDUSTRY - Civilian employed population 16 years and over - Retail trade,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Transportation and warehousing, and utilities",Estimate; INDUSTRY - Civilian employed population 16 years and over - Information,"Estimate; INDUSTRY - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing","Estimate; INDUSTRY - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services","Estimate; INDUSTRY - Civilian employed population 16 years and over - Educational services, and health care and social assistance","Estimate; INDUSTRY - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services","Estimate; INDUSTRY - Civilian employed population 16 years and over - Other services, except public administration",Estimate; INDUSTRY - Civilian employed population 16 years and over - Public administration,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
1600000US0471510,471510,"Surprise city, Arizona",103516,53229,50225,18445,8159,14575,3920,5126,50225,102,3299,1779,1787,6667,3132,719,4067,4684,13664,5018,2541,2766,3093,26588,9.7
1600000US0473000,473000,"Tempe city, Arizona",159818,110929,105631,46384,21088,25796,4771,7592,105631,139,4189,6876,2599,10406,5455,2651,11557,13960,23264,16957,5123,2455,5321,30292,20.3
1600000US0477000,477000,"Tucson city, Arizona",428481,263589,240167,77807,56685,62489,21134,22052,240167,1609,16897,13761,2919,32371,8978,3078,11297,33943,61271,28675,13571,11797,38011,21526,24.1
1600000US0485540,485540,"Yuma city, Arizona",71277,40235,36458,11206,8702,9009,3390,4151,36458,1947,2569,1280,1371,5756,666,373,2113,2805,7284,3892,2083,4319,6134,22499,16.7
1600000US0515190,515190,"Conway city, Arkansas",53045,32217,31130,11589,5353,9470,1312,3406,31130,263,1171,3353,982,4697,939,641,2250,3845,7425,2760,2142,662,2146,26437,21.4
1600000US0523290,523290,"Fayetteville city, Arkansas",69308,42625,41349,17372,7610,9394,3088,3885,41349,422,2324,4267,503,5255,1203,230,1790,4624,13234,4860,1893,744,1911,26246,25.2
1600000US0524550,524550,"Fort Smith city, Arkansas",69132,38065,36020,9145,7665,8566,3681,6963,36020,308,2622,7173,661,4441,1691,814,1879,3127,6404,4442,2266,192,6629,21842,21.6
1600000US0535710,535710,"Jonesboro city, Arkansas",59485,36913,33674,11660,5573,8967,2574,4900,33674,288,1737,5442,757,4142,1795,402,2410,2801,7569,3494,1886,951,4599,27078,17.1
1600000US0541000,541000,"Little Rock city, Arkansas",158683,100095,96080,41075,15420,25107,5202,9276,96080,117,4989,5600,2155,11222,5229,4748,7871,10778,25238,8715,4804,4614,8185,32774,18.8
1600000US0550450,550450,"North Little Rock city, Arkansas",50849,33169,30590,14753,5037,6662,1947,2191,30590,54,1668,1626,1057,2978,1355,1308,2276,1800,10036,3978,1392,1062,4777,25161,24.2
1600000US0560410,560410,"Rogers city, Arkansas",N,N,31275,11181,5559,7599,2959,3977,31275,151,2475,5013,345,5692,1401,88,2446,3483,5016,3667,747,751,1599,31098,9.3
1600000US0566080,566080,"Springdale city, Arkansas",N,N,37226,11539,4274,8020,4881,8512,37226,88,3398,9157,1150,5334,2044,180,1150,3562,5819,2954,1841,549,3878,23141,15.6
1600000US0600562,600562,"Alameda city, California",63244,41345,39901,22140,4413,8889,1445,3014,39901,52,1125,3701,750,3840,2144,1731,2764,7972,9384,2216,2306,1916,1431,44622,6.8
1600000US0600884,600884,"Alhambra city, California",71757,43545,41570,14207,9436,10743,2362,4822,41570,0,1607,4470,1385,4489,1921,703,2352,5145,8579,6036,3106,1777,1272,25903,12.7
1600000US0602000,602000,"Anaheim city, California",273702,179084,168898,49240,39571,39221,14768,26098,168898,723,10670,21650,8243,20990,7519,2748,9346,19725,29470,24919,8084,4811,12911,25127,15
1600000US0602252,602252,"Antioch city, California",86394,55100,51405,18365,11321,12323,4204,5192,51405,151,3741,3913,1075,6300,3176,923,4958,5603,12075,4241,2827,2422,5152,29741,12
1600000US0602364,602364,"Apple Valley town, California",56642,29500,25448,6207,5662,6673,2645,4261,25448,286,1503,1305,400,3723,3946,78,1333,2430,4753,2210,1391,2090,5869,21912,16.8
1600000US0602553,602553,"Arden-Arcade CDP, California",82920,49305,44784,18411,7876,9450,5129,3918,44784,160,3524,1945,887,4607,2257,553,2950,5775,10947,4867,2646,3666,6373,32184,27.7
1600000US0603526,603526,"Bakersfield city, California",275401,177008,161519,53823,29207,38278,21513,18698,161519,14372,10651,8614,4394,22001,8596,2060,8796,15085,36164,15912,7104,7770,20760,24488,20
1600000US0603666,603666,"Baldwin Park city, California",59646,38952,37099,6966,9486,7575,5152,7920,37099,301,3600,5633,2273,3343,2193,414,1936,4025,6222,3222,3057,880,1204,18175,12.9
1600000US0604982,604982,"Bellflower city, California",60096,35495,33005,9643,6610,8364,2586,5802,33005,40,2047,4150,946,4356,2103,517,1105,3419,8318,3112,1688,1204,2894,21643,13.5
1600000US0606000,606000,"Berkeley city, California",106798,67625,64549,45199,7381,8842,1027,2100,64549,207,1143,2566,459,4267,1888,2988,2940,15419,24317,4929,2236,1190,2052,48533,16.1
1600000US0608786,608786,"Buena Park city, California",69509,44824,43232,11478,8605,11535,2438,9176,43232,386,1889,7819,1932,5655,2870,625,2140,3905,6857,5565,2803,786,2151,25613,12
1600000US0608954,608954,"Burbank city, California",87626,55147,51138,25869,5923,11784,3263,4299,51138,91,2136,3911,981,5943,2245,6994,2619,5424,9731,6140,3117,1806,1862,38366,10.5
1600000US0610046,610046,"Camarillo city, California",56144,35132,33728,14396,6754,7244,2543,2791,33728,232,2029,3339,863,4200,1185,745,1624,3740,7157,3690,1772,3152,1033,38718,8.7
1600000US0611194,611194,"Carlsbad city, California",89638,59293,56698,33056,6879,11686,1810,3267,56698,785,2528,7275,1641,3075,1107,2201,4952,11340,11005,5435,3017,2337,482,56006,5.2
1600000US0611390,611390,"Carmichael CDP, California",50060,30994,28664,10759,5699,7479,2406,2321,28664,113,1387,1057,928,4334,2007,706,2000,3233,6853,2494,1553,1999,2200,34229,14.3
1600000US0611530,611530,"Carson city, California",75783,50430,46380,16042,9397,12030,3335,5576,46380,507,2304,5596,1592,5117,2112,718,1959,5070,11760,5719,1780,2146,1361,28178,8.5
1600000US0611964,611964,"Castro Valley CDP, California",53762,34327,32652,15984,5396,6633,2076,2563,32652,253,2343,2412,523,2612,1615,1033,2255,4954,7432,3694,1132,2394,1424,43113,8.2
1600000US0613014,613014,"Chico city, California",75760,47859,43340,17098,9769,9197,3487,3789,43340,1262,1745,2297,662,5421,1112,726,1914,4361,13503,6201,2477,1659,5148,25066,26.6
1600000US0613210,613210,"Chino city, California",72597,35777,33019,10975,5166,9411,1923,5544,33019,64,1751,3973,1757,4332,2498,687,1921,3159,6692,2580,1559,2046,1843,21076,15.8
1600000US0613214,613214,"Chino Hills city, California",63209,41271,39283,17630,4914,10020,3378,3341,39283,237,3265,3196,2254,3884,2526,764,2500,4292,9631,3420,1222,2092,249,36499,6.5
1600000US0613392,613392,"Chula Vista city, California",208134,133125,119630,45324,23911,28127,11511,10757,119630,220,7838,9130,3307,12468,5156,1385,7857,13368,29726,11378,7236,10561,7668,27103,10.5
1600000US0613588,613588,"Citrus Heights city, California",71295,46499,45082,15023,10980,11138,4326,3615,45082,63,3818,2325,1102,6396,2137,1038,3584,4432,9550,4590,2831,3216,3376,28187,12.8
1600000US0614218,614218,"Clovis city, California",79865,51958,48782,20379,8043,12148,4420,3792,48782,415,2929,2793,958,5265,2825,839,3083,5255,15022,3746,1780,3872,4655,30319,14.2
1600000US0615044,615044,"Compton city, California",72271,44137,39938,5457,8415,9384,5225,11457,39938,359,3914,5537,1438,4471,4011,597,923,3686,7085,4372,2148,1397,5365,15758,26.5
1600000US0616000,616000,"Concord city, California",103565,68869,64899,24619,15790,13894,6364,4232,64899,659,4233,2607,1622,7949,2514,1863,5181,10262,12612,7964,4905,2528,3169,35541,11
1600000US0616350,616350,"Corona city, California",134938,89543,84162,27142,15657,23909,6566,10888,84162,106,6484,9262,3412,11586,3907,1203,5270,9080,16183,8361,5343,3965,4352,29601,11.8
1600000US0616532,616532,"Costa Mesa city, California",91737,67090,64922,23957,15698,14816,4414,6037,64922,499,3261,4104,2101,8461,2463,1002,6663,11617,9417,10454,3059,1821,1470,37059,11.6
1600000US0617918,617918,"Daly City city, California",91259,63022,59348,20129,13335,17064,3417,5403,59348,0,1390,4180,985,7283,4560,1465,5331,6619,13148,8177,2772,3438,1906,35320,6.6
1600000US0618100,618100,"Davis city, California",58513,33231,31539,21295,4218,4405,710,911,31539,190,538,1535,417,2276,784,832,1161,3825,14243,3026,501,2211,1095,33947,30.5
1600000US0619766,619766,"Downey city, California",87215,59551,56353,16743,10577,17805,2704,8524,56353,205,2076,7325,2262,7450,4785,1096,2697,5271,12422,5133,3441,2190,2274,25868,7.7
1600000US0620802,620802,"East Los Angeles CDP, California",95288,60210,55134,7989,10152,14071,7562,15360,55134,233,6191,7954,4846,7206,4196,844,1535,3888,8682,5169,3179,1211,3547,15684,17.2
1600000US0621712,621712,"El Cajon city, California",75479,45107,40463,10414,9026,11078,4036,5909,40463,243,3642,3326,1173,6005,3126,161,1486,4364,8003,4440,2402,2092,8584,20852,26.7
1600000US0622020,622020,"Elk Grove city, California",130221,83570,80120,35351,16264,18586,4055,5864,80120,100,2561,3629,1743,8515,4145,2017,6489,7829,19206,7765,3827,12294,2376,35696,7.1
1600000US0622230,622230,"El Monte city, California",91286,54443,51147,9148,12716,11528,4469,13286,51147,203,3469,7406,3071,6150,4281,208,1733,5373,8524,5381,4303,1045,4559,15935,20.7
1600000US0622804,622804,"Escondido city, California",117529,79951,75229,18675,18911,19082,10639,7922,75229,1776,6251,7889,2615,9856,2245,1956,2871,11373,14117,8774,4085,1421,6067,25023,14.7
1600000US0623182,623182,"Fairfield city, California",90049,56756,52866,15964,11667,12347,5960,6928,52866,1471,4009,5161,1120,6851,3347,1064,1874,4248,12120,6338,1940,3323,4953,32385,10.3
1600000US0624477,624477,"Florence-Graham CDP, California",46322,28424,N,N,N,N,N,N,26544,241,2412,4519,1623,3982,2725,212,385,1331,3507,3256,1780,571,3880,12387,28.1
1600000US0624638,624638,"Folsom city, California",59742,36556,35795,20885,4601,7898,905,1506,35795,49,1282,3685,1099,3124,898,423,3603,5635,7753,2325,2136,3783,719,44673,6
1600000US0624680,624680,"Fontana city, California",157134,104695,97478,22884,16905,26255,10336,21098,97478,139,7203,9599,4245,13612,12274,1180,3214,8245,19345,8626,5312,4484,7685,22174,11.8
1600000US0626000,626000,"Fremont city, California",181200,120441,116542,69146,12891,22598,5020,6887,116542,161,3490,15981,2847,10052,5238,4146,7565,33610,19337,7103,4508,2504,2131,46899,3.1
1600000US0627000,627000,"Fresno city, California",388619,237426,214398,62266,50982,51084,22298,27768,214398,8526,12034,14903,7487,22898,10131,3238,10844,21174,54478,23547,12068,13070,39928,22260,28.1
1600000US0628000,628000,"Fullerton city, California",114429,76167,70498,29159,12654,18521,3357,6807,70498,143,2940,8718,2498,8204,1919,1679,5822,9795,14530,9005,3142,2103,3707,33032,14
1600000US0629000,629000,"Garden Grove city, California",138928,91072,86670,24407,20617,20483,8267,12896,86670,353,5775,13016,1675,10880,4220,1312,4347,9916,15256,9310,8300,2310,5891,24000,14
1600000US0630000,630000,"Glendale city, California",167747,107697,97612,44724,15485,22936,5055,9412,97612,165,3401,6834,2658,9079,5365,6368,7442,12250,23541,8914,6495,5100,6087,35405,14.4
1600000US0632548,632548,"Hawthorne city, California",65709,45306,42047,10776,12130,9332,2630,7179,42047,0,1497,2560,757,3819,4078,1342,2096,5841,8881,7199,2628,1349,3584,21088,19.3
1600000US0633000,633000,"Hayward city, California",128738,85489,82142,24728,17843,19879,7355,12337,82142,317,6152,8728,2711,9061,5866,1419,4144,11852,14940,10467,3812,2673,4858,29152,10.5
1600000US0633182,633182,"Hemet city, California",61536,27888,N,N,N,N,N,N,22898,0,2830,1234,747,4324,2728,491,482,1393,4199,1823,1095,1552,5564,17956,20.9
1600000US0633434,633434,"Hesperia city, California",72200,38483,35034,7945,6833,9674,4969,5613,35034,237,3988,2494,1064,5759,4223,535,1855,2352,6788,2920,869,1950,5043,19129,20.7
1600000US0636000,636000,"Huntington Beach city, California",166873,109703,105289,47581,15665,26180,7254,8609,105289,467,6308,11467,3272,13227,4524,2074,7948,14336,21487,9861,5615,4703,3754,44950,8.2
1600000US0636448,636448,"Indio city, California",69686,37646,34076,9115,10481,7235,5344,1901,34076,313,3423,1192,346,4267,1731,391,1507,5252,5714,6931,1707,1302,3045,23103,19.3
1600000US0636546,636546,"Inglewood city, California",91735,60072,54966,17021,12555,13338,4038,8014,54966,288,3212,4314,821,5367,5533,1416,3438,5302,12273,6762,3461,2779,4147,26372,14.9
1600000US0636770,636770,"Irvine city, California",211343,135178,127201,81184,11110,26360,2547,6000,127201,392,2394,18364,5340,8950,2037,3038,16428,24135,29309,8975,4508,3331,1638,49205,12.7
1600000US0637692,637692,"Jurupa Valley city, California",79536,49746,45420,9028,7965,10568,7034,10825,45420,581,5065,5831,1594,5783,5672,305,1410,3834,8140,3939,2143,1123,3743,19565,17
1600000US0639248,639248,"Laguna Niguel city, California",53674,35406,33777,17703,4192,9283,1180,1419,33777,0,2444,2713,647,3943,1061,1505,3813,5217,6804,3425,1493,712,451,51639,6.1
1600000US0639496,639496,"Lake Forest city, California",68353,49004,47009,22096,7752,12779,2317,2065,47009,137,2118,4556,1765,5178,2271,1444,3712,7803,8312,5066,2853,1794,944,43115,8.1
1600000US0639892,639892,"Lakewood city, California",63135,40626,38368,16033,6204,9670,2018,4443,38368,296,1730,3790,1191,3752,2973,638,1786,3395,11111,4986,1005,1715,1076,31086,10.1
1600000US0640130,640130,"Lancaster city, California",122190,61732,57749,19646,10802,13875,6108,7318,57749,626,3472,6740,1104,7287,2783,1484,1693,4407,15899,4198,3428,4628,4298,20375,24.8
1600000US0641992,641992,"Livermore city, California",71346,51235,49296,23166,7585,11481,3170,3894,49296,111,3638,4477,1341,5687,2336,1204,3055,10299,8966,4708,2246,1228,1236,47559,5.2
1600000US0643000,643000,"Long Beach city, California",372374,248826,231816,83308,48673,51302,17428,31105,231816,1192,10963,22546,6624,22322,19309,5505,13131,28640,52001,27256,14718,7609,18562,29096,18.8
1600000US0644000,644000,"Los Angeles city, California",3241537,2133182,1990871,736148,423294,446949,151446,233034,1990871,7754,117012,162627,57592,207429,91293,124905,121698,283780,378816,254089,137481,46395,141036,31619,19.5
1600000US0644574,644574,"Lynwood city, California",52210,32284,N,N,N,N,N,N,29751,188,3174,6345,1618,4143,2310,343,875,2431,3278,2263,1822,961,3202,14788,21.3
1600000US0645484,645484,"Manteca city, California",58199,36272,33169,8455,5053,9140,3687,6834,33169,305,2674,4496,1951,4948,3305,256,1100,2676,6791,1888,1408,1371,2925,25264,11.2
1600000US0646842,646842,"Menifee city, California",69422,38958,36117,12261,7361,8782,3737,3976,36117,250,3374,2783,1132,4607,2610,537,1884,3601,8915,2650,2266,1508,1836,27313,8.2
1600000US0646898,646898,"Merced city, California",59267,35685,30240,7943,8026,6236,3956,4079,30240,1987,1671,1799,533,3211,1845,398,1293,2000,8330,3792,1686,1695,7156,19340,28.2
1600000US0647766,647766,"Milpitas city, California",62302,40207,39000,20927,5210,6166,2128,4569,39000,45,532,8236,996,2560,1561,1464,1957,10487,6819,1506,2282,555,343,40344,7.8
1600000US0648256,648256,"Mission Viejo city, California",79820,54175,51787,27527,7269,12147,2287,2557,51787,43,1944,5372,1518,5339,1276,1109,6173,8536,10770,5249,2800,1658,609,47836,4.7
1600000US0648354,648354,"Modesto city, California",160147,96082,87025,25600,16567,23394,10879,10585,87025,2290,7197,8466,3127,11120,4481,756,3227,10082,20070,9239,4179,2791,10816,24445,13.7
1600000US0649270,649270,"Moreno Valley city, California",151009,97501,88571,20904,15516,25620,8079,18452,88571,368,6320,6798,3454,12758,12557,1416,5497,7135,15691,7568,4557,4452,7547,19585,16.4
1600000US0649670,649670,"Mountain View city, California",65278,46367,44456,31239,4755,5258,1847,1357,44456,100,1407,4785,436,2838,817,4634,1593,13368,8575,3635,1718,550,995,65400,11.6
1600000US0650076,650076,"Murrieta city, California",83832,52734,48061,19817,8893,10842,4036,4473,48061,168,3391,3718,1434,6346,2703,1009,2261,4662,12612,4190,3009,2558,1570,30728,11.9
1600000US0650258,650258,"Napa city, California",64937,44317,41977,15178,10119,9040,4032,3608,41977,2711,1906,5491,1338,4010,1014,258,2401,4467,8188,7150,1311,1732,1290,36577,7.8
1600000US0651182,651182,"Newport Beach city, California",N,N,43743,25848,3703,12241,304,1647,43743,209,1273,5108,2394,4813,875,938,6987,8055,6602,3838,1661,990,319,85801,6.7
1600000US0652526,652526,"Norwalk city, California",83344,49358,46296,11340,8935,13405,3711,8905,46296,187,2035,6146,2592,6395,3293,373,2313,3742,9959,5736,1609,1916,3241,20834,17.3
1600000US0653000,653000,"Oakland city, California",346120,237904,222986,98363,44070,45851,15088,19614,222986,892,12659,14405,4817,19517,11153,9154,13502,41970,48156,24773,14512,7476,16493,38198,18.9
1600000US0653322,653322,"Oceanside city, California",140717,87253,82856,26284,20136,21715,6388,8333,82856,893,4504,7596,1883,9867,3696,1321,3884,11856,15399,12452,6103,3402,4594,28894,11
1600000US0653896,653896,"Ontario city, California",132746,87549,79971,17599,14255,23577,9254,15286,79971,628,6537,9424,3788,8866,7664,726,4309,9744,13944,6291,4851,3199,6325,21069,14.6
1600000US0653980,653980,"Orange city, California",112117,75915,72520,31031,12232,17051,4588,7618,72520,310,4465,9633,2511,7140,2001,1707,4866,8910,16750,8341,3143,2743,2249,35804,9
1600000US0654652,654652,"Oxnard city, California",154616,104701,98993,21210,17470,21450,23927,14936,98993,17584,5590,11448,3429,9380,3627,678,5115,7618,15624,8618,4901,5381,6335,22071,14.8
1600000US0655156,655156,"Palmdale city, California",113618,66009,60322,18569,12986,11461,5582,11724,60322,238,3942,7690,1761,7255,3733,847,2683,5089,14272,5490,2503,4819,6269,20240,18.1
1600000US0655282,655282,"Palo Alto city, California",55644,33819,32411,26068,2881,2771,178,513,32411,0,336,3588,816,1259,36,2277,1886,9531,8920,1939,1267,556,653,83033,8.6
1600000US0656000,656000,"Pasadena city, California",119269,78519,74853,41281,11043,15173,4456,2900,74853,47,4479,3808,2219,7227,2459,3826,4695,13012,17821,8072,3810,3378,2737,44403,14.3
1600000US0656700,656700,"Perris city, California",55634,33713,N,N,N,N,N,N,30394,68,2591,3732,1176,4481,2803,178,1092,3072,6003,2684,334,2180,3843,16596,21
