GEO.display-label,HC01_VC40,HC03_VC40,HC01_VC41,HC03_VC41,HC01_VC42,HC03_VC42,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC101,HC03_VC101,HC01_VC118,HC01_VC130,HC03_VC130,HC01_VC134,HC03_VC134,HC03_VC161,HC03_VC167,HC03_VC171
"Phoenix city, Arizona",770242,770242,258037,33.5,156964,20.4,192042,24.9,73430,9.5,89769,11.7,770242,770242,4004,0.5,59650,7.7,54996,7.1,18047,2.3,89916,11.7,44152,5.7,14244,1.8,74117,9.6,110482,14.3,149904,19.5,77355,10,47129,6.1,26246,3.4,770242,770242,639286,83,74922,9.7,54924,7.1,1110,0.1,88748,16,26308,1604080,1604080,219992,13.7,16.1,32.9,20.3
"San Tan Valley CDP, Arizona",35019,35019,12133,34.6,8049,23,9800,28,2591,7.4,2446,7,35019,35019,238,0.7,2479,7.1,2221,6.3,731,2.1,5621,16.1,1789,5.1,572,1.6,2004,5.7,3200,9.1,10238,29.2,2490,7.1,646,1.8,2790,8,35019,35019,27010,77.1,5521,15.8,2488,7.1,0,0,1426,5.7,23627,82843,82843,4555,5.5,8.4,11.3,9.9
"Scottsdale city, Arizona",124938,124938,66165,53,16056,12.9,33400,26.7,3620,2.9,5697,4.6,124938,124938,541,0.4,5074,4.1,7871,6.3,3883,3.1,14421,11.5,4628,3.7,3462,2.8,17551,14,21920,17.5,27287,21.8,13237,10.6,3449,2.8,1614,1.3,124938,124938,106339,85.1,7577,6.1,10829,8.7,193,0.2,4042,3.6,57346,245325,245325,15577,6.3,5.9,12,8
"Surprise city, Arizona",50225,50225,18445,36.7,8159,16.2,14575,29,3920,7.8,5126,10.2,50225,50225,102,0.2,3299,6.6,1779,3.5,1787,3.6,6667,13.3,3132,6.2,719,1.4,4067,8.1,4684,9.3,13664,27.2,5018,10,2541,5.1,2766,5.5,50225,50225,39760,79.2,7624,15.2,2841,5.7,0,0,3093,6.6,26588,132057,132057,6233,4.7,6.4,14.5,9.7
"Tempe city, Arizona",105631,105631,46384,43.9,21088,20,25796,24.4,4771,4.5,7592,7.2,105631,105631,139,0.1,4189,4,6876,6.5,2599,2.5,10406,9.9,5455,5.2,2651,2.5,11557,10.9,13960,13.2,23264,22,16957,16.1,5123,4.8,2455,2.3,105631,105631,86812,82.2,13025,12.3,5718,5.4,76,0.1,5321,7.4,30292,182069,182069,15140,8.3,10.1,21.6,20.3
"Tucson city, Arizona",240167,240167,77807,32.4,56685,23.6,62489,26,21134,8.8,22052,9.2,240167,240167,1609,0.7,16897,7,13761,5.7,2919,1.2,32371,13.5,8978,3.7,3078,1.3,11297,4.7,33943,14.1,61271,25.5,28675,11.9,13571,5.7,11797,4.9,240167,240167,187126,77.9,36768,15.3,15927,6.6,346,0.1,38011,18.4,21526,514689,514689,52405,10.2,17.9,32.5,24.1
"Yuma city, Arizona",36458,36458,11206,30.7,8702,23.9,9009,24.7,3390,9.3,4151,11.4,36458,36458,1947,5.3,2569,7,1280,3.5,1371,3.8,5756,15.8,666,1.8,373,1,2113,5.8,2805,7.7,7284,20,3892,10.7,2083,5.7,4319,11.8,36458,36458,26499,72.7,7809,21.4,1745,4.8,405,1.1,6134,17.8,22499,90329,90329,11684,12.9,13.6,41.9,16.7
"Conway city, Arkansas",31130,31130,11589,37.2,5353,17.2,9470,30.4,1312,4.2,3406,10.9,31130,31130,263,0.8,1171,3.8,3353,10.8,982,3.2,4697,15.1,939,3,641,2.1,2250,7.2,3845,12.4,7425,23.9,2760,8.9,2142,6.9,662,2.1,31130,31130,26310,84.5,3890,12.5,930,3,0,0,2146,9.2,26437,64098,64098,5000,7.8,14,43.7,21.4
"Fayetteville city, Arkansas",41349,41349,17372,42,7610,18.4,9394,22.7,3088,7.5,3885,9.4,41349,41349,422,1,2324,5.6,4267,10.3,503,1.2,5255,12.7,1203,2.9,230,0.6,1790,4.3,4624,11.2,13234,32,4860,11.8,1893,4.6,744,1.8,41349,41349,32516,78.6,6981,16.9,1852,4.5,0,0,1911,5.6,26246,82721,82721,6821,8.2,14.9,30.5,25.2
"Fort Smith city, Arkansas",36020,36020,9145,25.4,7665,21.3,8566,23.8,3681,10.2,6963,19.3,36020,36020,308,0.9,2622,7.3,7173,19.9,661,1.8,4441,12.3,1691,4.7,814,2.3,1879,5.2,3127,8.7,6404,17.8,4442,12.3,2266,6.3,192,0.5,36020,36020,31969,88.8,2398,6.7,1653,4.6,0,0,6629,18.2,21842,87315,87315,8771,10,13.5,29.7,21.6
"Jonesboro city, Arkansas",33674,33674,11660,34.6,5573,16.5,8967,26.6,2574,7.6,4900,14.6,33674,33674,288,0.9,1737,5.2,5442,16.2,757,2.2,4142,12.3,1795,5.3,402,1.2,2410,7.2,2801,8.3,7569,22.5,3494,10.4,1886,5.6,951,2.8,33674,33674,26597,79,4900,14.6,2177,6.5,0,0,4599,15.6,27078,74120,74120,5972,8.1,13.2,29.6,17.1
"Little Rock city, Arkansas",96080,96080,41075,42.8,15420,16,25107,26.1,5202,5.4,9276,9.7,96080,96080,117,0.1,4989,5.2,5600,5.8,2155,2.2,11222,11.7,5229,5.4,4748,4.9,7871,8.2,10778,11.2,25238,26.3,8715,9.1,4804,5,4614,4.8,96080,96080,77535,80.7,15447,16.1,2858,3,240,0.2,8185,9.7,32774,196334,196334,16197,8.2,11.8,30.5,18.8
"North Little Rock city, Arkansas",30590,30590,14753,48.2,5037,16.5,6662,21.8,1947,6.4,2191,7.2,30590,30590,54,0.2,1668,5.5,1626,5.3,1057,3.5,2978,9.7,1355,4.4,1308,4.3,2276,7.4,1800,5.9,10036,32.8,3978,13,1392,4.6,1062,3.5,30590,30590,24270,79.3,5373,17.6,885,2.9,62,0.2,4777,16.6,25161,65277,65277,4346,6.7,19.9,34.2,24.2
"Rogers city, Arkansas",31275,31275,11181,35.8,5559,17.8,7599,24.3,2959,9.5,3977,12.7,31275,31275,151,0.5,2475,7.9,5013,16,345,1.1,5692,18.2,1401,4.5,88,0.3,2446,7.8,3483,11.1,5016,16,3667,11.7,747,2.4,751,2.4,31275,31275,26665,85.3,2463,7.9,2147,6.9,0,0,1599,6.8,31098,64594,64594,7242,11.2,10.2,24.8,9.3
"Springdale city, Arkansas",37226,37226,11539,31,4274,11.5,8020,21.5,4881,13.1,8512,22.9,37226,37226,88,0.2,3398,9.1,9157,24.6,1150,3.1,5334,14.3,2044,5.5,180,0.5,1150,3.1,3562,9.6,5819,15.6,2954,7.9,1841,4.9,549,1.5,37226,37226,32777,88,3248,8.7,1201,3.2,0,0,3878,13.4,23141,81006,81006,12504,15.4,13.3,33.2,15.6
"Alameda city, California",39901,39901,22140,55.5,4413,11.1,8889,22.3,1445,3.6,3014,7.6,39901,39901,52,0.1,1125,2.8,3701,9.3,750,1.9,3840,9.6,2144,5.4,1731,4.3,2764,6.9,7972,20,9384,23.5,2216,5.6,2306,5.8,1916,4.8,39901,39901,29177,73.1,6657,16.7,4067,10.2,0,0,1431,4.7,44622,77189,77189,1938,2.5,5.6,10.8,6.8
