Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Divorced,% of population 15+ that are divorced,% of Pop 15+ Now Married,,per_below_pov
"Norwalk city, Connecticut",71949,33758,12543,18701,1802,38191,12593,17571,4452,8.692268134,50.41348733,34.93585734,7.7
"Stamford city, Connecticut",107276,53284,22451,26112,3920,53992,18063,25998,6311,9.53708192,48.57563668,37.76613595,8.3
"Waterbury city, Connecticut",85697,39961,19268,15588,3233,45736,18553,17491,5944,10.70865958,38.59995099,44.13340024,21.9
"Wilmington city, Delaware",56410,26549,16774,6607,2438,29861,16374,6598,3897,11.23027832,23.40897004,58.76263074,27.7
"Washington city, District of Columbia",576040,270633,155103,89163,21625,305407,170936,84880,29600,8.892611624,30.21370044,56.6000625,18.6
"Boca Raton city, Florida",84569,40799,13642,20921,4438,43770,12990,20217,6184,12.56015798,48.64430229,31.49144486,8.7
"Boynton Beach city, Florida",64433,27627,8498,14775,3107,36806,13565,13236,6001,14.13561374,43.47306504,34.24177052,14.4
"Cape Coral city, Florida",152259,73397,20990,39097,10138,78862,18268,41319,9619,12.97591604,52.81526872,25.78369752,11.9
"Clearwater city, Florida",93736,44449,15058,22085,5786,49287,13046,21868,7471,14.14291201,46.89020227,29.98207732,16.7
"Coral Springs city, Florida",103409,48855,15698,27260,4802,54554,16286,26586,8166,12.54049454,52.07090292,30.92960961,9.3
"Davie town, Florida",83259,39404,14357,19467,4786,43855,14641,18260,7846,15.17193336,45.31281903,34.82866717,13.8
"Deerfield Beach city, Florida",65407,30289,11657,12572,4513,35118,11914,12444,6710,17.1587139,38.24667085,36.03742719,11.5
"Deltona city, Florida",74927,34926,11925,18849,3047,40001,10925,18062,7164,13.62793119,49.26261561,30.49634978,15.5
"Fort Lauderdale city, Florida",153274,80921,37084,29854,11811,72353,26858,27717,12256,15.70194554,37.56083876,41.71744719,33.4
"Gainesville city, Florida",117738,54960,35525,14670,3851,62778,37514,14300,6887,9.120250047,24.60547996,62.03519679,22.5
"Hialeah city, Florida",204460,94551,34579,47523,8139,109909,32262,48167,16827,12.21070136,46.80133033,32.69148,12.8
"Hollywood city, Florida",128532,62109,23590,28697,8088,66423,18425,28414,12232,15.80929263,44.43329288,32.68835776,14.9
"Jacksonville city, Florida",708690,338907,131673,152972,46113,369783,120357,156463,60204,15.00190492,43.66295559,35.56279897,15.2
"Lakeland city, Florida",88369,41395,13899,18376,6673,46974,14734,19529,7019,15.49412124,42.89400129,32.40163406,14.6
"Largo city, Florida",72496,33415,10992,15721,5720,39081,8753,15867,9190,20.56665195,43.57205915,27.23598543,22.7
"Melbourne city, Florida",68991,33784,12627,13847,5959,35207,9176,15189,6137,17.53272166,42.08664898,31.60267281,24.9
"Miami city, Florida",387609,188932,81505,78550,24094,198677,74242,74765,28286,13.5136181,39.55403512,40.18147153,13.5
"Miami Beach city, Florida",80346,44102,18800,17851,6937,36244,10457,15104,8203,18.84350185,41.01635427,36.41376049,24
"Miami Gardens city, Florida",92273,43734,21291,16580,4570,48539,23795,16166,5060,10.43642236,35.48817097,48.86153046,12.4
"Miramar city, Florida",115803,55819,28061,24146,3507,59984,26017,24607,6674,8.791654793,42.0999456,46.69827207,19.4
"Orlando city, Florida",228408,111854,51918,42153,15130,116554,49846,41688,18121,14.55772127,36.70668278,44.55360583,17.4
"Palm Bay city, Florida",93306,45202,15406,22261,5477,48104,13418,22230,8489,14.9679549,47.68289285,30.89190406,11.8
"Pembroke Pines city, Florida",142560,65515,24083,34774,5209,77045,27294,33703,9803,10.53030303,48.03381033,36.03886083,8.4
"Plantation city, Florida",77474,35539,11798,17928,5020,41935,13231,18151,7140,15.6955882,46.56917159,32.30632212,18.2
"Pompano Beach city, Florida",87162,44043,17974,18658,5809,43119,14722,17307,6373,13.97627406,41.26224731,37.51175971,14.1
"Port St. Lucie city, Florida",153656,74133,23310,42385,5934,79523,22935,39193,10927,10.97321289,53.09132087,30.09644921,12.8
"St. Petersburg city, Florida",226818,109728,44570,44614,17101,117090,41443,44131,19286,16.04237759,39.12608347,37.92159352,14.7
"Sunrise city, Florida",76700,35510,13579,17419,3447,41190,13662,17098,6126,12.48109518,45.00260756,35.51629726,26.1
"Tallahassee city, Florida",164252,75428,42872,25434,6099,88824,48703,27215,8730,9.02820057,32.05379539,55.75274578,19.8
"Tampa city, Florida",308862,145685,63527,61427,17415,163177,63463,61507,24753,13.65269926,39.80224178,41.11544962,17
"West Palm Beach city, Florida",93579,45231,20560,17086,5709,48348,17771,17512,8327,14.99909168,36.97197021,40.96111307,32.5
"Albany city, Georgia",59185,25881,12842,8995,3480,33304,14897,11016,3515,11.81887303,33.81093182,46.86829433,27.9
"Athens-Clarke County unified government (balance), Georgia",104454,48766,28305,16545,3137,55688,28609,17713,5946,8.695693798,32.79721217,54.48714267,22.4
"Atlanta city, Georgia",394222,195266,115029,56794,18443,198956,103619,52659,25591,11.16984846,27.76430539,55.46316542,25.4
"Augusta-Richmond County consolidated government (balance), Georgia",157938,75483,33999,30902,8822,82455,31500,32603,11112,12.6214084,40.20881612,41.47133685,21.7
"Columbus city, Georgia",156216,76074,32551,35007,6489,80142,26864,33060,12385,12.08198904,43.57236135,38.03387617,4.9
"Johns Creek city, Georgia",64853,30590,7171,21762,1514,34263,8378,20886,3506,7.740582548,65.76102879,23.97576057,26.3
"Macon-Bibb County, Georgia",120768,55446,25413,21881,6030,65322,25562,23195,8858,12.32776895,37.32445681,42.20902888,8.2
"Roswell city, Georgia",74449,37790,14899,20495,2070,36659,9873,20401,4595,8.952437239,54.93156389,33.27378474,11.2
"Sandy Springs city, Georgia",89667,42184,17709,21520,2220,47483,20477,19678,4759,7.783242441,45.94555411,42.58645879,23.5
"Savannah city, Georgia",121600,57569,31425,19218,5705,64031,29019,20049,9616,12.59950658,32.29194079,49.70723684,20.1
"Warner Robins city, Georgia",58832,27074,8617,15228,2273,31758,8132,16336,4326,11.2166848,53.65107425,28.46920044,11.3
