GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC27,HC01_VC66,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC70,HC01_VC74,HC01_VC75,HC01_VC76,HC01_VC77,HC01_VC78,HC01_VC79,HC01_VC80,HC01_VC81,HC01_VC82,HC01_VC83,HC01_VC84,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC91,HC01_VC93,HC01_VC97,HC01_VC99,HC01_VC101,HC01_VC103,HC01_VC104,HC01_VC105,HC01_VC106,HC01_VC107,HC01_VC108,HC01_VC109,HC01_VC110,HC01_VC111,HC01_VC112,HC01_VC113,HC01_VC114,HC01_VC115,HC01_VC118,HC01_VC120,HC01_VC121,HC01_VC122,HC01_VC124,HC01_VC125,HC01_VC126,HC01_VC130,HC01_VC131,HC01_VC132,HC01_VC133,HC01_VC134,HC01_VC137,HC01_VC138,HC01_VC141,HC01_VC142,HC01_VC143,HC01_VC144,HC01_VC145,HC01_VC146,HC01_VC147,HC01_VC148,HC01_VC149,HC01_VC150,HC01_VC151,HC01_VC152,HC01_VC153,HC01_VC154,HC01_VC155,HC01_VC156,HC01_VC157
1600000US3457000,3457000,"Paterson city, New Jersey",114449,62675,63596,56538,4143,2915,0,46531,6110,3523,7786,5063,7119,7059,4053,4193,551,1074,36146,52912,33978,10932,5999,3055,2153,18932,32000,3243,1477,6131,3233,5122,5417,3244,2711,446,976,40445,58324,18637,14531,21703,33982,25600,34085,26164,145716,121515,47879,79168,24201,36574,825,91290,64135,60672,45647,31266,15045,15025,3463,2220,386,1834,1243,27155,20573,4550,16515,6582
1600000US3473110,3473110,"Toms River CDP, New Jersey",72740,43283,44072,34007,7457,2581,27,33456,2205,855,2655,3989,3254,4437,5755,5736,2269,2301,71183,85160,24305,13370,8259,863,368,1767,21464,632,187,672,1613,1717,3570,4158,4629,2159,2127,87577,105279,33619,11992,30877,47355,35224,62419,36362,86691,81891,68590,26321,4800,17833,364,52421,42283,40357,37380,34981,3010,2977,1926,1479,928,551,447,10138,9126,7471,2322,1012
1600000US3474000,3474000,"Trenton city, New Jersey",64682,30231,30988,25464,4738,739,47,26849,4003,2435,4719,2934,2504,3762,2146,3369,727,250,31592,50867,18173,8224,4353,2467,2116,8272,15674,1932,534,1994,2175,1238,2869,1539,2605,674,114,49531,60922,18748,11175,19568,33676,26039,33343,37982,81509,68172,32148,40753,13337,21744,908,50858,34388,29786,22180,18263,4449,7606,4602,3097,409,2730,1505,16470,13152,3586,10163,3318
1600000US3474630,3474630,"Union City city, New Jersey",56304,36910,37521,31743,3869,1909,0,24642,2311,1512,3033,2416,3696,4693,2931,2454,1058,538,46286,59258,21268,5506,1605,1382,456,5803,17300,912,706,2350,2317,2906,3465,1637,1890,748,369,45950,60535,22277,7342,36086,48520,25442,34061,26376,68862,54828,30894,27966,14034,14338,509,46882,37989,35818,25014,19194,6539,10804,2171,1483,738,745,688,8893,7089,2915,4524,1804
1600000US3502000,3502000,"Albuquerque city, New Mexico",445246,266616,268505,200701,54544,13082,178,220918,16823,12985,26774,24037,28794,39944,26711,26136,9056,9658,50522,68467,170496,67433,43268,11019,6829,35070,130503,7686,4260,11665,11929,16129,24959,19098,19143,7668,7966,62778,81536,28560,90415,31896,46027,30314,44167,39431,555304,516096,341885,238647,39208,128461,4257,345993,266007,252261,228599,193884,44528,23662,13746,11130,4280,7166,2616,79986,71606,38969,38331,8380
1600000US3539380,3539380,"Las Cruces city, New Mexico",81030,43996,43938,30624,10977,2337,0,39169,5079,3741,4577,4545,5234,6192,4522,3424,1137,718,39201,52944,27714,12622,7832,2725,1420,8629,23998,2353,1047,2034,2823,2995,4924,3498,2674,985,665,55247,63940,20986,15171,21980,33362,19447,40165,31718,99682,93077,56253,51846,6605,23074,309,60518,45426,41429,38098,28572,12513,3331,3997,3764,1558,2550,233,15092,12466,6579,6588,2626
1600000US3563460,3563460,"Rio Rancho city, New Mexico",76790,43368,43646,32431,8620,2469,126,34795,1593,1437,3386,2213,4599,7710,4778,5580,1897,1602,60979,76168,26920,11351,8201,1455,629,3605,25099,980,399,1768,1367,2933,5774,4070,4663,1543,1602,71460,85985,28778,9696,40960,48239,35881,60537,41442,95267,91204,70130,34202,4063,22207,719,58204,44206,40010,38718,34176,6197,1292,4196,3273,1941,1454,923,13998,12869,9227,4933,1129
1600000US3570500,3570500,"Santa Fe city, New Mexico",70387,40987,41235,28316,8198,4695,26,34975,3100,827,2903,3948,6049,6314,4116,4535,1529,1654,51347,76621,26141,12476,7474,1274,566,3178,17857,757,222,1046,1365,3157,3862,1992,2856,1298,1302,63439,95892,35427,17118,40670,52274,31704,44417,41906,83514,74027,50072,37017,9487,15720,1090,50346,38733,36718,30823,25393,5997,5895,2015,1588,959,727,427,11613,9834,5576,5268,1779
1600000US3601000,3601000,"Albany city, New York",82502,47635,48511,33256,13810,1445,0,41143,5080,3245,5374,4458,5246,6581,3368,4630,1944,1217,42302,60031,31887,10137,5873,2968,2331,9494,18207,1126,1065,1981,1777,2461,2653,1715,2992,1467,970,57682,78935,25969,22936,31311,43145,25608,41996,40229,96544,93107,65437,41811,3437,17063,118,68550,49586,46170,43624,35783,10710,2546,3416,3370,1961,1759,46,18964,18324,11725,8659,640
1600000US3608026,3608026,"Brentwood CDP, New York",48070,32783,32878,28569,2578,1731,0,13383,757,483,924,973,1615,2957,2133,1641,1245,655,67670,81799,11584,2823,1741,879,281,2239,10964,483,225,1183,824,1004,2561,1844,1497,1034,309,68488,79709,20897,,41557,,26669,39835,32224,61408,54155,39140,21729,7253,15638,1570,41056,32698,31587,27341,22693,6300,4246,1111,944,691,414,167,8358,7136,4671,3641,1222
1600000US3611000,3611000,"Buffalo city, New York",205187,103460,106998,85368,18165,3334,131,106139,17055,10279,16014,11001,13008,16695,8342,7793,3245,2707,32883,51287,73974,31233,16959,11537,6114,35849,53582,5388,4464,7275,5147,7404,9496,5185,5465,2281,1477,42098,59947,22300,52557,24748,40525,26671,43332,37257,254511,242877,123598,142572,11634,57963,665,166617,110873,101920,95211,69712,27944,6709,8953,7662,2890,5116,1291,55744,52775,17910,38493,2969
1600000US3615000,3615000,"Cheektowaga CDP, New York",60546,37503,38600,32863,4171,1411,155,32626,1704,1950,3334,4344,5583,7542,3574,3110,1199,286,47868,57787,24004,12239,6666,1474,444,3866,17996,785,384,896,2240,2903,4456,2705,2420,961,246,57869,68350,26756,14630,35446,42404,31942,47684,36966,72710,69008,50672,29845,3702,13974,300,46137,38143,36751,34357,29288,5964,2394,1392,953,347,674,439,7994,7425,3728,4339,569
